Wavelength (nm),Red QE
987,0.6134
988,0.6044
989,0.5954
990,0.5864
991,0.5774
992,0.5685
993,0.5595
994,0.5505
995,0.5415
996,0.5325
997,0.5235
998,0.5145
999,0.5055
1000,0.4964
1001,0.4858
1002,0.4753
1003,0.4648
1004,0.4543
1005,0.4438
1006,0.4333
1007,0.4228
1008,0.4123
1009,0.4018
1010,0.3913
1011,0.3807
1012,0.3702
1013,0.3597
1014,0.3492
1015,0.3387
1016,0.3282
1017,0.3177
1018,0.3072
1019,0.2967
1020,0.2861
1021,0.2763
1022,0.2669
1023,0.2576
1024,0.2483
1025,0.2389
1026,0.2296
1027,0.2203
1028,0.211
1029,0.2016
1030,0.1923
1031,0.183
1032,0.1737
1033,0.1643
1034,0.155
1035,0.1457
1036,0.1364
1037,0.127
1038,0.1177
1039,0.1084
1040,0.0997
1041,0.097
1042,0.0943
1043,0.0916
1044,0.0889
1045,0.0862
1046,0.0835
1047,0.0808
1048,0.0781
1049,0.0754
1050,0.0727
