hr0141   0 34 55.24  +13 22 15.4  2000.0  __________   6.400  K0        
hr0142   0 35 15.18  -3 35 34.3  2000.0  _13____Cet   5.200  F8V       
hr0143   0 35 32.90  -0 30 20.7  2000.0  _14____Cet   5.930  F5IV      
hr0144   0 36 08.33  +54 10 07.0  2000.0  __________   5.080  B7III     
hr0145   0 35 54.60  +13 12 22.1  2000.0  __________   6.410  F7V       
hr0146   0 36 27.30  +60 19 34.0  2000.0  __________   5.790  A4III     
hr0147   0 35 41.14  -48 00 04.0  2000.0  ___Lam2Phe   5.510  F6V       
hr0148   0 35 33.43  -54 49 19.5  2000.0  __________   6.060  K0IV      
hr0149   0 36 20.01  +27 15 16.8  2000.0  __________   6.500  B8IIIpHgMn
hr0150   0 36 02.94  -14 58 25.8  2000.0  __________   6.450  G9III     
hr0151   0 36 06.85  -22 50 33.5  2000.0  __________   6.060  A6pSr     
hr0152   0 36 46.58  +44 29 19.3  2000.0  __________   5.130  K5-M0III  
hr0153   0 36 58.32  +53 53 48.9  2000.0  _17Zet_Cas   3.660  B2IV      
hr0154   0 36 52.91  +33 43 10.0  2000.0  _29Pi__And   4.360  B5V       
hr0155   0 36 47.30  +15 13 53.9  2000.0  _53____Psc   5.890  B2.5IV    
hr0156   0 37 07.19  +24 00 50.6  2000.0  __________   6.470  K2III     
hr0157   0 37 21.09  +35 23 57.9  2000.0  __________   5.480  G2.5IIa   
hr0158   0 39 46.73  +82 29 38.8  2000.0  __________   6.400  F6        
hr0159   0 37 21.72  -24 46 02.1  2000.0  __________   5.570  G8V       
hr0160   0 36 37.45  -65 07 29.2  2000.0  __________   6.420  K2-3III   
hr0161   0 37 30.56  +3 08 06.4  2000.0  __________   6.390  K4III     
hr0162   0 37 18.16  -54 23 39.2  2000.0  __________   6.410  K0II-IIICN
hr0163   0 38 33.13  +29 18 39.5  2000.0  _30Eps_And   4.370  G6IIIFe-3C
hr0164   0 39 09.91  +49 21 15.9  2000.0  __________   5.430  K7III     
hr0165   0 39 19.81  +30 51 38.1  2000.0  _31Del_And   3.270  K3III     
hr0166   0 39 21.47  +21 14 58.3  2000.0  _54____Psc   5.870  K0+V      
hr0167   0 39 55.62  +21 26 17.6  2000.0  _55____Psc   5.360  K0III+F3V 
hr0168   0 40 30.56  +56 32 13.7  2000.0  _18Alp_Cas   2.230  K0IIIa    
hr0169   0 38 40.76  -73 08 13.8  2000.0  __________   6.850  A1m       
hr0170   0 39 58.17  -33 57 43.2  2000.0  __________   6.690  F8V       
hr0171   0 39 52.04  -44 47 48.0  2000.0  __________   6.010  K1IIICNII 
hr0172   0 40 28.63  -16 31 01.4  2000.0  __________   6.490  G5        
hr0173   0 40 33.37  -23 48 19.3  2000.0  __________   6.140  G3V       
hr0174   0 40 42.39  -4 21 07.1  2000.0  __________   5.910  K0III     
hr0175   0 41 07.19  +39 27 30.9  2000.0  _32____And   5.330  G8III     
hr0176   0 40 27.57  -59 27 11.5  2000.0  __________   5.890  G1V       
hr0177   0 42 03.38  +66 08 50.9  2000.0  __________   5.830  G9III-IV  
hr0178   0 41 36.08  +24 37 44.8  2000.0  __________   6.040  A7m       
hr0179   0 42 03.92  +50 30 45.0  2000.0  _19Xi__Cas   4.800  B2V       
hr0180   0 41 19.59  -46 05 06.0  2000.0  ___Mu__Phe   4.590  G8III     
hr0181   0 42 31.15  +58 45 11.9  2000.0  __________   6.170  B9.5III   
hr0183   0 41 46.50  -56 30 05.6  2000.0  ___Xi__Phe   5.700  ApSrEuCr  
hr0184   0 43 28.08  +47 01 28.7  2000.0  _20Pi__Cas   4.940  A5V       
hr0185   0 42 42.90  -38 27 48.1  2000.0  ___Lam1Scl   6.060  A0V       
hr0186   0 42 42.14  -60 15 45.4  2000.0  __________   5.980  K5III     
hr0187   0 42 28.49  -65 28 04.6  2000.0  ___Rho_Tuc   5.390  F6V       
hr0188   0 43 35.56  -17 59 11.7  2000.0  _16Bet_Cet   2.040  G9.5IIICH-
hr0189   0 44 26.37  +47 51 51.2  2000.0  __________   5.670  B5V       
hr0190   0 43 50.20  -12 00 44.0  2000.0  __________   6.020  K2III-IV  
hr0191   0 43 21.19  -57 27 46.9  2000.0  ___Eta_Phe   4.360  A0IV      
hr0192   0 45 38.95  +74 59 16.7  2000.0  _21____Cas   5.660  A2IV      
hr0193   0 44 43.52  +48 17 03.9  2000.0  _22Omi_Cas   4.540  B5IIIe    
hr0194   0 44 11.39  -10 36 35.1  2000.0  _17Phi1Cet   4.760  K0III     
hr0195   0 44 12.31  -38 25 16.9  2000.0  ___Lam2Scl   5.900  K1III     
hr0196   0 45 17.17  +55 13 18.0  2000.0  __________   5.420  A2V s     
hr0197   0 44 44.35  -22 00 21.2  2000.0  __________   5.240  F1III-IV  
hr0198   0 44 57.02  -42 40 37.0  2000.0  __________   5.940  F0V       
hr0199   0 44 32.51  -62 29 52.0  2000.0  __________   6.070  F5III-IV  
hr0200   0 46 39.37  +69 19 30.0  2000.0  __________   6.330  F3V       
hr0201   0 45 24.12  -4 37 44.7  2000.0  __________   6.150  M0III     
hr0202   0 45 00.26  -53 42 54.0  2000.0  __________   6.150  F7III     
hr0203   0 45 28.68  -12 52 53.0  2000.0  _18____Cet   6.150  G0V       
hr0204   0 46 15.12  +55 18 18.9  2000.0  __________   6.520  A2III     
hr0205   0 46 10.93  +44 51 40.9  2000.0  __________   6.050  B9.5IIIpHg
hr0206   0 45 41.71  -16 25 27.1  2000.0  __________   6.470  F1IVn     
hr0207   0 46 42.39  +59 34 28.0  2000.0  __________   6.390  G0Ib      
hr0208   0 47 46.14  +74 50 50.9  2000.0  _23____Cas   5.410  B8III     
hr0209   0 45 45.78  -47 33 05.1  2000.0  __________   5.800  G1V       
hr0210   0 46 11.95  -22 31 19.1  2000.0  __________   5.500  G3V       
hr0211   0 46 32.98  +15 28 31.6  2000.0  _57____Psc   5.380  M4IIIa    
hr0212   0 48 09.39  +72 40 30.2  2000.0  __________   5.870  K0IV      
hr0213   0 47 01.54  +11 58 25.6  2000.0  _58____Psc   5.500  G8II      
hr0214   0 47 13.67  +19 34 44.1  2000.0  _59____Psc   6.130  F0Vn      
hr0215   0 47 20.23  +24 16 01.2  2000.0  _34Zet_And   4.060  K1IIe     
hr0216   0 47 23.61  +6 44 26.9  2000.0  _60____Psc   5.990  G8III     
hr0217   0 47 54.91  +20 55 31.1  2000.0  _61____Psc   6.540  F8V       
hr0218   0 47 43.33  -18 03 40.7  2000.0  __________   5.700  K3III     
hr0219   0 49 07.38  +57 48 51.7  2000.0  _24Eta_Cas   3.440  F9V+dM0   
hr0220   0 48 01.12  -21 43 21.1  2000.0  __________   5.570  B9V       
hr0221   0 48 17.47  +7 18 00.0  2000.0  _62____Psc   5.930  G8III     
hr0222   0 48 23.51  +5 16 38.5  2000.0  __________   5.750  K2V       
hr0223   0 48 50.14  +50 58 05.9  2000.0  _25Nu__Cas   4.890  B9III     
hr0224   0 48 41.06  +7 35 05.5  2000.0  _63Del_Psc   4.430  K4IIIb    
hr0225   0 48 58.70  +16 56 24.0  2000.0  _64____Psc   5.070  F8V       
hr0226   0 49 48.82  +41 04 43.8  2000.0  _35Nu__And   4.530  B5V+F8V   
hr0227   0 49 25.67  -13 33 42.0  2000.0  __________   5.590  K5III     
hr0228   0 49 13.96  -24 08 11.5  2000.0  __________   5.900  K2III     
hr0229   0 48 56.69  -46 41 51.8  2000.0  __________   6.270  G8III     
hr0230   0 49 52.86  +27 42 38.9  2000.0  _65____Psc   7.000  F4III     
hr0231   0 49 53.27  +27 42 36.9  2000.0  _65____Psc   7.100  F5III     
hr0232   0 49 33.39  -23 21 42.0  2000.0  __________   6.280  A3V       
hr0233   0 50 43.65  +64 14 50.9  2000.0  __________   5.390  G0III-IV+B
hr0234   0 50 18.36  +45 00 08.1  2000.0  __________   6.150  A0pCr     
hr0235   0 50 07.45  -10 38 42.3  2000.0  _19Phi2Cet   5.190  F7IV-V    
hr0236   0 48 35.73  -74 55 24.3  2000.0  ___Lam_Hyi   5.070  K5III     
hr0237   0 51 16.40  +61 48 21.1  2000.0  __________   6.070  K2Ib-IICN-
hr0238   0 50 57.54  +51 30 29.0  2000.0  __________   6.390  F2IV      
hr0239   0 50 03.71  -43 23 40.8  2000.0  __________   6.480  A9-F0III  
hr0240   0 54 53.48  +83 42 25.8  2000.0  __________   5.620  A4V       
hr0241   0 51 33.69  +51 34 15.8  2000.0  __________   6.210  B9.5V     
hr0242   0 50 41.27  -50 59 12.6  2000.0  ___Rho_Phe   5.220  F2III     
hr0243   0 51 18.31  +3 23 05.3  2000.0  __________   6.370  K0III     
hr0244   0 53 04.00  +61 07 28.7  2000.0  __________   4.820  F8V       
hr0245   0 51 52.12  -43 42 33.1  2000.0  __________   6.900  F2V+F5V   
hr0246   0 52 53.42  +38 32 54.8  2000.0  __________   6.690  A2V       
hr0247   0 52 40.63  -24 00 20.6  2000.0  __________   5.460  K2III     
hr0248   0 53 00.51  -1 08 39.2  2000.0  _20____Cet   4.770  M0III     
hr0249   0 53 28.21  +37 25 04.5  2000.0  __________   6.060  K3        
hr0250   0 53 47.68  +52 41 20.7  2000.0  __________   6.270  A5m       
hr0251   0 53 12.47  -24 46 36.6  2000.0  __________   6.460  F6IV-V    
hr0252   0 52 24.29  -69 30 16.9  2000.0  ___Lam1Tuc   6.220  F7IV-V    
hr0253   0 55 00.06  +58 58 21.6  2000.0  _26Ups1Cas   4.830  K2III     
hr0254   0 54 35.21  +19 11 17.9  2000.0  _66____Psc   5.740  A1VN      
hr0255   0 54 17.61  -8 44 27.5  2000.0  _21____Cet   6.160  G5IV      
hr0256   0 55 05.18  +48 40 42.9  2000.0  __________   6.270  M2.5IIIa  
hr0257   0 53 38.01  -62 52 17.0  2000.0  __________   5.700  M4III     
hr0258   0 54 58.10  +23 37 41.7  2000.0  _36____And   5.470  K1IV      
hr0259   0 55 14.71  +24 33 24.8  2000.0  __________   6.200  M4IIIab   
hr0260   0 56 12.95  +57 59 47.9  2000.0  __________   6.210  K3III     
hr0261   0 56 55.85  +68 46 33.8  2000.0  __________   6.370  F4III     
hr0262   0 55 58.49  +27 12 34.1  2000.0  _67____Psc   6.090  A5IV      
hr0263   0 55 42.40  -7 20 50.5  2000.0  __________   5.850  K5III     
hr0264   0 56 42.54  +60 43 00.0  2000.0  _27Gam_Cas   2.470  B0IVe     
hr0265   0 56 39.68  +59 10 51.5  2000.0  _28Ups2Cas   4.630  G8IIIbFe-0
hr0266   0 56 47.14  +60 21 45.9  2000.0  __________   5.550  B9IVn     
hr0267   0 56 01.49  -11 16 00.1  2000.0  _22Phi3Cet   5.310  K4III     
hr0268   0 55 55.50  -27 46 32.0  2000.0  __________   6.100  M0III     
hr0269   0 56 45.33  +38 29 58.3  2000.0  _37Mu__And   3.870  A5V       
hr0270   0 55 00.31  -69 31 37.4  2000.0  ___Lam2Tuc   5.450  K2III     
hr0271   0 57 12.37  +23 25 02.5  2000.0  _38Eta_And   4.420  G8IIIb    
hr0272   0 57 39.71  +45 50 23.0  2000.0  __________   6.120  K2III     
hr0273   0 58 31.17  +66 21 07.9  2000.0  __________   5.970  A0III     
hr0274   0 57 50.21  +28 59 31.9  2000.0  _68____Psc   5.420  G6        
hr0275   0 58 14.23  +33 57 02.3  2000.0  __________   5.980  K0        
hr0276   0 57 54.49  +13 41 44.9  2000.0  __________   6.320  G8III     
hr0277   0 58 18.90  +21 24 16.0  2000.0  __________   6.370  A2V       
hr0278   1 00 31.17  +70 58 59.0  2000.0  __________   6.390  A4IV      
hr0279   0 58 43.88  -11 22 48.2  2000.0  _23Phi4Cet   5.610  G7III     
hr0280   0 58 36.42  -29 21 27.0  2000.0  ___Alp_Scl   4.310  B7IIIp    
hr0281   0 58 22.47  -60 41 46.8  2000.0  __________   6.230  Am        
hr0282   1 00 03.41  +44 42 39.8  2000.0  __________   6.840  A2Vn      
hr0283   1 00 03.62  +44 42 47.8  2000.0  __________   6.040  B9.5Vn    
hr0284   0 59 49.72  +6 28 58.9  2000.0  __________   6.110  M2III     
hr0285   1 08 45.48  +86 15 24.9  2000.0  __________   4.250  K2II-III  
hr0286   1 33 52.81  +89 00 55.6  2000.0  __________   6.460  A3V       
hr0287   1 02 18.40  +51 02 05.9  2000.0  __________   6.470  A3V       
hr0288   1 01 18.36  -38 54 59.6  2000.0  ___Xi__Scl   5.590  K0III     
hr0289   1 03 01.59  +47 22 33.9  2000.0  __________   6.450  A9IV      
hr0290   1 02 54.28  +41 20 41.9  2000.0  _39____And   5.980  A5m       
hr0291   1 02 49.11  +31 48 15.7  2000.0  _69Sig_Psc   5.500  B9.5V     
hr0292   1 03 36.99  +61 04 30.0  2000.0  __________   5.920  F0II      
hr0293   1 02 26.46  -31 33 06.9  2000.0  ___Sig_Scl   5.500  A2V       
hr0294   1 02 56.55  +7 53 24.2  2000.0  _71Eps_Psc   4.280  K0III     
hr0295   1 02 01.81  -57 00 08.8  2000.0  ___Ome_Phe   6.110  G8III     
hr0296   1 03 02.53  -4 50 13.1  2000.0  _25____Cet   5.430  K0III-IV  
hr0297   1 04 19.50  +61 34 48.8  2000.0  __________   5.840  F6V       
hr0298   1 04 02.40  +52 30 07.4  2000.0  __________   5.990  K2        
hr0299   1 02 49.20  -46 23 51.0  2000.0  __________   5.360  G8III     
hr0300   1 03 17.51  -29 31 33.3  2000.0  __________   6.290  G5IV      
hr0301   1 03 49.08  +1 21 59.6  2000.0  _26____Cet   6.040  F1V       
hr0302   1 04 46.82  +51 00 36.0  2000.0  __________   6.540  B3V       
hr0303   1 04 27.66  +29 39 29.8  2000.0  __________   6.190  F7IV-V    
hr0304   1 02 42.91  -65 27 22.0  2000.0  __________   6.210  M2III     
hr0305   1 04 36.47  +39 59 27.8  2000.0  __________   6.720  F0Vn      
hr0306   1 16 14.18  +87 08 42.7  2000.0  __________   6.250  K2        
hr0307   1 04 52.62  +5 39 22.9  2000.0  _73____Psc   6.000  K5        
hr0308   1 05 05.40  +14 56 46.5  2000.0  _72____Psc   5.680  F4II-III  
hr0309   1 06 22.95  +62 45 41.8  2000.0  __________   6.540  A5Vn      
hr0310   1 05 40.94  +21 28 23.8  2000.0  _74Psi1Psc   5.340  A1Vn      
hr0311   1 05 41.73  +21 27 54.8  2000.0  _74Psi1Psc   5.560  A0Vn      
hr0312   1 09 12.18  +80 00 41.6  2000.0  __________   6.290  G6        
hr0313   1 05 49.21  +4 54 28.8  2000.0  _77____Psc   6.350  F3V       
hr0314   1 05 51.42  +4 54 32.8  2000.0  _77____Psc   7.250  F6V       
hr0315   1 05 36.78  -9 58 45.3  2000.0  _27____Cet   6.120  K0III     
hr0316   1 07 00.32  +56 56 04.9  2000.0  __________   6.430  K2III     
hr0317   1 06 05.12  -9 50 22.0  2000.0  _28____Cet   5.580  A1V       
hr0318   1 07 09.53  +53 29 54.0  2000.0  __________   6.380  K2III     
hr0319   1 06 33.61  +12 57 22.2  2000.0  _75____Psc   6.120  G8III     
hr0320   1 06 07.68  -23 59 33.4  2000.0  __________   6.140  G8-K0III  
hr0321   1 08 20.37  +54 54 57.0  2000.0  _30Mu__Cas   5.170  G5Vb      
hr0322   1 06 04.97  -46 43 07.0  2000.0  ___Bet_Phe   3.310  G8III     
hr0323   1 06 26.56  -35 39 39.2  2000.0  __________   6.610  A1V       
hr0324   1 08 01.05  +43 56 30.3  2000.0  _41____And   5.030  A3m       
hr0325   1 07 13.17  -23 59 47.4  2000.0  __________   6.370  A7V       
hr0326   1 08 33.31  +58 15 49.0  2000.0  __________   5.790  B8V       
hr0327   1 08 01.46  +32 00 43.7  2000.0  _78____Psc   6.250  F5IV      
hr0328   1 07 57.26  +20 44 20.1  2000.0  _79Psi2Psc   5.550  A3V       
hr0329   1 07 46.30  -9 47 07.8  2000.0  _30____Cet   5.820  F7IV      
hr0330   1 08 22.02  +5 38 57.1  2000.0  _80____Psc   5.520  F0III-IV  
hr0331   1 07 47.93  -41 29 12.9  2000.0  ___Ups_Phe   5.210  A3IV      
hr0332   1 07 18.80  -61 46 31.1  2000.0  ___Iot_Tuc   5.370  G5III     
hr0333   1 12 17.04  +79 40 26.0  2000.0  __________   5.640  A3V       
hr0334   1 08 35.55  -10 10 57.4  2000.0  _31Eta_Cet   3.450  K1.5IIICN1
